2026-02-14 11:00:32.557 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:00:32.557403
2026-02-14 11:00:32.558 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:00:42.748 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:00:42.749 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:00:42.750 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:00:42.750 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:00:42.750 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:00:42.751 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:00:42.751 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:00:42.751156
2026-02-14 11:00:42.752 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:01:15.998 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:01:16.004 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:01:16.004 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
2026-02-14 11:01:16.006 | INFO     | app.core.logging:log_startup_info:160 | Environment: dev
2026-02-14 11:01:16.012 | INFO     | app.core.logging:log_startup_info:161 | Log Level: INFO
2026-02-14 11:01:16.020 | INFO     | app.core.logging:log_startup_info:162 | Logs Directory: E:\MAHAVIR-GROUP-SOFTWARE-DEVELOPMENT\ai_rag_sentiment_bot\app\logs
2026-02-14 11:01:16.024 | INFO     | app.core.logging:log_startup_info:163 | Timestamp: 2026-02-14T11:01:16.024021
2026-02-14 11:01:16.034 | INFO     | app.core.logging:log_startup_info:164 | ================================================================================
2026-02-14 11:01:17.145 | WARNING  | app.auth.jwt:<module>:36 | JWT_SECRET_KEY not configured in environment. Using default key. Change JWT_SECRET_KEY in production!
2026-02-14 11:01:29.483 | INFO     | app.core.logging:log_startup_info:157 | ================================================================================
2026-02-14 11:01:29.512 | INFO     | app.core.logging:log_startup_info:158 | AI RAG Sentiment Bot - Startup
2026-02-14 11:01:29.525 | INFO     | app.core.logging:log_startup_info:159 | ================================================================================
